trial,num_segments,total_tokens,affected_tokens,baseline_cost,proposed_cost,cost_savings_pct,fragmentation_ratio,fragmentation_branch,surrogate_escalated
0,8,2206,205,2222.0,44.32,98.01,0.125,none,False
1,4,1106,692,1114.0,718.22,35.53,0.5,sparse_kernel,True
2,4,1567,691,1575.0,31.74,97.98,0.5,sparse_kernel,False
3,6,1579,538,1591.0,31.98,97.99,0.333,none,False
4,5,1704,600,1714.0,34.48,97.99,0.4,sparse_kernel,False
5,12,4127,476,4151.0,82.74,98.01,0.083,none,False
6,12,4018,381,4042.0,80.56,98.01,0.083,none,False
7,10,3342,609,3362.0,67.24,98.0,0.2,none,False
8,4,1588,734,1596.0,32.16,97.98,0.5,sparse_kernel,False
9,12,4165,681,4189.0,83.7,98.0,0.167,none,False
10,5,1801,888,1811.0,36.42,97.99,0.4,sparse_kernel,False
11,5,1856,270,1866.0,37.32,98.0,0.2,none,False
12,6,1509,635,1521.0,30.58,97.99,0.333,none,False
13,7,2249,342,2263.0,45.18,98.0,0.143,none,False
14,11,4284,890,4306.0,86.08,98.0,0.182,none,False
15,4,982,211,990.0,19.84,98.0,0.25,none,False
16,12,3499,442,3523.0,70.18,98.01,0.083,none,False
17,10,2707,375,2727.0,54.34,98.01,0.1,none,False
18,5,1475,139,1485.0,170.5,88.52,0.2,none,True
19,11,3529,310,3551.0,70.78,98.01,0.091,none,False
20,6,2001,560,2013.0,40.42,97.99,0.333,none,False
21,3,900,271,906.0,291.0,67.88,0.333,none,True
22,10,2847,667,2867.0,57.34,98.0,0.2,none,False
23,8,2843,230,2859.0,57.06,98.0,0.125,none,False
24,8,2875,827,2891.0,57.9,98.0,0.25,none,False
25,12,4264,561,4288.0,85.68,98.0,0.167,none,False
26,5,1211,463,1221.0,24.62,97.98,0.4,sparse_kernel,False
27,8,2539,309,2555.0,361.78,85.84,0.125,none,True
28,5,1527,389,1537.0,30.74,98.0,0.2,none,False
29,5,1729,660,1739.0,34.98,97.99,0.4,sparse_kernel,False
30,11,3003,644,3025.0,60.46,98.0,0.182,none,False
31,12,4356,736,4380.0,827.12,81.12,0.167,none,True
32,6,1768,539,1780.0,35.76,97.99,0.333,none,False
33,6,2101,647,2113.0,693.02,67.2,0.333,none,True
34,10,3255,469,3275.0,65.3,98.01,0.1,none,False
35,9,2665,529,2683.0,53.7,98.0,0.222,none,False
36,11,2736,550,2758.0,608.72,77.93,0.182,none,True
37,7,2619,737,2633.0,793.38,69.87,0.286,none,True
38,5,1363,345,1373.0,27.46,98.0,0.2,none,False
39,6,1409,323,1421.0,28.58,97.99,0.333,none,False
40,3,1138,397,1144.0,22.96,97.99,0.333,none,False
41,5,1650,736,1660.0,33.4,97.99,0.4,sparse_kernel,False
42,3,537,256,543.0,10.94,97.99,0.333,none,False
43,6,2018,821,2030.0,40.76,97.99,0.333,none,False
44,9,3157,709,3175.0,776.14,75.55,0.222,none,True
45,5,1512,642,1522.0,30.64,97.99,0.4,sparse_kernel,False
46,9,3090,635,3108.0,62.2,98.0,0.222,none,False
47,8,2230,438,2246.0,45.0,98.0,0.25,none,False
48,7,2023,230,2037.0,40.66,98.0,0.143,none,False
49,12,3593,512,3617.0,585.86,83.8,0.083,none,True
50,12,4220,457,4244.0,84.6,98.01,0.083,none,False
51,11,4350,618,4372.0,87.4,98.0,0.182,none,False
52,8,2460,594,2476.0,49.6,98.0,0.25,none,False
53,4,1473,511,1481.0,29.66,98.0,0.25,none,False
54,4,1245,248,1253.0,274.9,78.06,0.25,none,True
55,10,3347,610,3367.0,67.34,98.0,0.2,none,False
56,7,2103,196,2117.0,42.26,98.0,0.143,none,False
57,6,2283,963,2295.0,1012.66,55.88,0.333,none,True
